53	2017-03-24 17:51:03	"I am trying to explore what is available on India (roughly 14th-18th century),  specially on eastern India."	For research purposes to write an article.
52	2017-03-24 17:14:23	Just review Europeana	Learn about art in Europe
51	2017-03-24 16:08:52	to look at paintings by Henriette Ronner	I saw a picture of a painting by here and wanted to see more of her paintings
50	2017-03-24 15:10:05	"Maps of Dublin - old,  recent"	"I like maps,  general interest"
49	2017-03-24 14:01:14	I want to find a compelling image of a book	to create a presentation for my colleagues
48	2017-03-24 13:09:49	I want to check if a book from the 16th century my library owns is alrdeay digitized elsewhere	To decide if I am going to digitize it or not
47	2017-03-24 12:26:40	"I am looking for unpublished manuscripts,  postcards,  audio recordings,  letters,  oral history items etc. focusing on Transylvania at the start of the 20th century."	I am trying to find items for an digital humanities project I am conducting with my students.
46	2017-03-24 11:21:40	I am looking for artworks by Italian artist Enrico Sacchetti	to write an article
45	2017-03-24 11:14:10	I am looking for manuscripts and early printed editions of the Alexandreis by Walter of Châtillon.	To find additional material for my PhD-thesis.
44	2017-03-24 10:24:54	lyon Guerre 14-18	to prepar exibition
43	2017-03-24 09:22:45	I'm looking for plans and images of Clermont-Ferrand	To write a study for urban planning
42	2017-03-24 08:31:09	I'm looking for natural history object from Vienna Museum	To understand what kind of objects are present in Europeana
41	2017-03-24 07:39:55	Understand more of a painting	Link data on Wikidata
40	2017-03-24 07:22:38	I am looking for different music	For my personal interest
39	2017-03-24 06:09:53	"Objects (images, photographs, things) relating to beer drinking"	"Writing a blog about this, compiling images to use in the blog"
38	2017-03-24 02:15:27	Looking for the following rare stamp: Uruguay: 1858 120 centavos blue and 180 centavos green.	General philatelic interest.
37	2017-03-23 19:51:20	audio	to write a book
36	2017-03-23 19:51:07	Linked data and images of European artists	"The project called my attention. I want to see European history and art collections,  classical paintings,  and heritage projects."
35	2017-03-23 18:42:35	"Old photographs and pictures of my home town,  Salamanca,  Spain."	General interest
34	2017-03-23 16:35:38	"I' looking for ""Rote Hilfe"" and Internartionale Arbeiterhilfe in the 1920s"	To create a presentation for a conference
33	2017-03-23 16:17:58	Art Nouveau exhibition	Working on a contributing project
32	2017-03-23 15:50:59	I want to know what images are available about Santiago de Compostela and its XVIIIth century monuments	I am preparing the management plan of one of the city's most prominent buildings
31	2017-03-23 15:43:58	Information on keyed bugle	Historical and technical interest in the subject
